Order ID,Order Date,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Discount_Rate,calculated_sales,sales_diff,Profit_Margin,Order_Year,Order_Month,Order_Day,Order_Weekday,Season
10001,2024-10-19,Kashvi Varty,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,5,68958.6,10525.09,Debit Card,0.05,68958.59999999999,1.4551915228366852e-11,0.1526291137001041,2024,10,19,5,Fall
10002,2025-08-30,Advik Desai,North,Delhi,Groceries,Rice,Rice Nemo,1,42165,20,33732.0,6299.66,Debit Card,0.2,33732.0,0.0,0.18675619589707101,2025,8,30,5,Summer
10003,2023-11-04,Rhea Kalla,East,Patna,Kitchen,Juicer,Juicer Odio,4,64876,20,207603.2,19850.27,Credit Card,0.2,207603.2,0.0,0.09561639704975645,2023,11,4,5,Fall
10004,2025-05-23,Anika Sen,East,Kolkata,Groceries,Oil,Oil Doloribus,5,37320,15,158610.0,36311.02,Upi,0.15,158610.0,0.0,0.22893272807515286,2025,5,23,4,Spring
10005,2025-01-19,Akarsh Kaul,West,Pune,Clothing,Kids Wear,Kids Wear Quo,1,50037,10,45033.3,9050.04,Debit Card,0.1,45033.3,0.0,0.20096328716749606,2025,1,19,6,winter
10006,2025-04-06,Vardaniya Jayaraman,West,Pune,Furniture,Chair,Chair Assumenda,5,40287,15,171219.75,23722.84,Credit Card,0.15,171219.75,0.0,0.13855200699685638,2025,4,6,6,Spring
10007,2023-10-13,Drishya Khare,West,Mumbai,Clothing,Accessories,Accessories Minima,2,3636,5,6908.4,680.26,Debit Card,0.05,6908.4,0.0,0.09846853106363268,2023,10,13,4,Fall
10008,2025-08-17,Misha Dua,North,Lucknow,Books,Biography,Biography Vel,1,15885,10,14296.5,1289.03,Debit Card,0.1,14296.5,0.0,0.09016402616024902,2025,8,17,6,Summer
10009,2025-03-07,Arhaan Vala,North,Jaipur,Groceries,Spices,Spices Expedita,1,40834,20,32667.2,3700.89,Credit Card,0.2,32667.2,0.0,0.11329070137630405,2025,3,7,4,Spring
10010,2024-12-02,Lavanya Hayer,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,2,16686,15,28366.2,5703.09,Upi,0.15,28366.2,0.0,0.2010523087336337,2024,12,2,0,winter
10011,2025-08-24,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,2,10761,20,17217.6,4139.82,Credit Card,0.2,17217.600000000002,3.637978807091713e-12,0.24044117647058824,2025,8,24,6,Summer
10012,2024-05-21,Nishith Kumar,South,Hyderabad,Beauty,Perfume,Perfume Itaque,3,27066,10,73078.2,16216.55,Net Banking,0.1,73078.2,0.0,0.2219068066810622,2024,5,21,1,Spring
10013,2024-12-05,Anika Khanna,North,Chandigarh,Home Decor,Vase,Vase Ratione,1,53951,5,51253.45,6826.05,Credit Card,0.05,51253.45,0.0,0.1331822540726527,2024,12,5,3,winter
10014,2023-12-03,Amani Acharya,East,Patna,Clothing,Women'S Wear,Women's Wear Optio,5,23843,0,119215.0,21029.48,Upi,0.0,119215.0,0.0,0.17639961414251562,2023,12,3,6,winter
10015,2025-07-25,Anay Grewal,North,Jaipur,Kitchen,Juicer,Juicer Debitis,2,15444,5,29343.6,5535.44,Cod,0.05,29343.6,0.0,0.1886421570632097,2025,7,25,4,Summer
10016,2023-10-13,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop,Laptop Numquam,5,51645,10,232402.5,35657.72,Debit Card,0.1,232402.5,0.0,0.15343087961618312,2023,10,13,4,Fall
10017,2024-05-24,Ritvik Ramanathan,South,Hyderabad,Electronics,Smartwatch,Smartwatch Ad,3,52691,15,134362.05,26225.16,Upi,0.15,134362.05,0.0,0.19518279156949453,2024,5,24,4,Spring
10018,2025-09-07,Darshit Sharma,South,Chennai,Groceries,Oil,Oil Odio,4,3775,10,13590.0,1234.71,Net Banking,0.1,13590.0,0.0,0.09085430463576159,2025,9,7,6,Fall
10019,2024-06-15,Sara Chanda,East,Patna,Sports,Dumbbells,Dumbbells Soluta,3,16579,20,39789.6,4240.62,Credit Card,0.2,39789.600000000006,7.275957614183426e-12,0.10657609023463417,2024,6,15,5,Summer
10020,2024-01-11,Gatik Ravi,West,Pune,Books,Textbook,Textbook Inventore,5,36393,5,172866.75,39437.91,Debit Card,0.05,172866.75,0.0,0.22814051863646423,2024,1,11,3,winter
10021,2023-10-15,Jivin Sunder,West,Ahmedabad,Kitchen,Refrigerator,Refrigerator Commodi,1,6574,20,5259.2,580.75,Upi,0.2,5259.200000000001,9.094947017729282e-13,0.11042554000608458,2023,10,15,6,Fall
10022,2024-03-16,Kashvi Ratti,North,Lucknow,Groceries,Wheat,Wheat Natus,5,26762,15,113738.5,27267.31,Credit Card,0.15,113738.5,0.0,0.23973685251695778,2024,3,16,5,Spring
10023,2023-11-02,Vivaan Goyal,West,Surat,Books,Comics,Comics Aperiam,1,47699,20,38159.2,8535.56,Upi,0.2,38159.200000000004,7.275957614183426e-12,0.22368288643367787,2023,11,2,3,Fall
10024,2025-07-10,Nayantara Bhagat,East,Ranchi,Beauty,Face Cream,Face Cream Repellat,1,28257,10,25431.3,3959.79,Credit Card,0.1,25431.3,0.0,0.1557053709405339,2025,7,10,3,Summer
10025,2025-06-21,Lakshay Ramakrishnan,North,Chandigarh,Electronics,Headphones,Headphones Itaque,5,24056,20,96224.0,20551.56,Cod,0.2,96224.0,0.0,0.21358039574326573,2025,6,21,5,Summer
10026,2024-01-13,Dhanush Vaidya,South,Chennai,Groceries,Rice,Rice Impedit,2,65756,5,124936.4,19544.76,Upi,0.05,124936.4,0.0,0.15643767548928894,2024,1,13,5,winter
10027,2025-04-22,Kimaya Rege,North,Lucknow,Beauty,Foundation,Foundation Illo,1,8276,0,8276.0,537.47,Net Banking,0.0,8276.0,0.0,0.06494320927984534,2025,4,22,1,Spring
10028,2024-12-12,Anika Wable,East,Bhubaneswar,Furniture,Table,Table Error,3,731,0,2193.0,214.1,Upi,0.0,2193.0,0.0,0.09762881896944824,2024,12,12,3,winter
10029,2025-08-27,Kavya Bhatnagar,North,Delhi,Toys,Rc Car,RC Car Amet,2,67085,20,107336.0,22034.77,Net Banking,0.2,107336.0,0.0,0.20528778788104643,2025,8,27,2,Summer
10030,2024-04-22,Adira Seshadri,North,Chandigarh,Groceries,Sugar,Sugar Excepturi,5,79453,15,337675.25,80309.87,Debit Card,0.15,337675.25,0.0,0.2378316740714636,2024,4,22,0,Spring
10031,2025-01-07,Zaina Sidhu,West,Goa,Groceries,Wheat,Wheat Consequuntur,2,25545,10,45981.0,9818.01,Credit Card,0.1,45981.0,0.0,0.21352319436288902,2025,1,7,1,winter
10032,2023-12-11,Bhamini Kuruvilla,North,Jaipur,Sports,Cricket Bat,Cricket Bat Voluptatum,4,76643,5,291243.4,40522.22,Upi,0.05,291243.39999999997,5.820766091346741e-11,0.1391352387727928,2023,12,11,0,winter
10033,2024-06-24,Kavya Saran,West,Ahmedabad,Furniture,Sofa,Sofa Deleniti,4,60561,20,193795.2,21970.55,Net Banking,0.2,193795.2,0.0,0.11336993898713693,2024,6,24,0,Summer
10034,2025-07-11,Mannat Batta,East,Guwahati,Toys,Rc Car,RC Car Quam,4,19080,20,61056.0,10008.03,Debit Card,0.2,61056.0,0.0,0.1639155856918239,2025,7,11,4,Summer
10035,2023-12-31,Shayak Bala,South,Thiruvananthapuram,Toys,Action Figure,Action Figure Laboriosam,2,48271,20,77233.6,13625.93,Net Banking,0.2,77233.6,0.0,0.17642489797186717,2023,12,31,6,winter
10036,2025-03-08,Hrishita Kumer,South,Thiruvananthapuram,Beauty,Lipstick,Lipstick Accusantium,4,7232,15,24588.8,4643.94,Credit Card,0.15,24588.8,0.0,0.18886403565851118,2025,3,8,5,Spring
10037,2024-12-02,Prisha Gaba,West,Surat,Sports,Dumbbells,Dumbbells Quas,2,78467,0,156934.0,9444.77,Credit Card,0.0,156934.0,0.0,0.06018307059018441,2024,12,2,0,winter
10038,2023-10-19,Arhaan Gole,North,Lucknow,Sports,Yoga Mat,Yoga Mat Quaerat,4,34124,5,129671.2,8392.19,Upi,0.05,129671.2,0.0,0.0647189969708,2023,10,19,3,Fall
10039,2025-09-30,Shaan Bala,East,Ranchi,Toys,Puzzle,Puzzle Assumenda,2,60907,0,121814.0,24378.77,Cod,0.0,121814.0,0.0,0.20013110151542515,2025,9,30,1,Fall
10040,2023-11-16,Taran Kala,North,Lucknow,Kitchen,Refrigerator,Refrigerator Libero,5,9102,10,40959.0,7785.75,Debit Card,0.1,40959.0,0.0,0.19008642789130595,2023,11,16,3,Fall
10041,2024-09-18,Nitara Hayre,East,Guwahati,Toys,Board Game,Board Game Consequuntur,5,76782,20,307128.0,47122.1,Upi,0.2,307128.0,0.0,0.1534282123414342,2024,9,18,2,Fall
10042,2025-07-01,Lavanya Tata,North,Amritsar,Toys,Doll,Doll Laborum,5,57559,5,273405.25,26969.18,Debit Card,0.05,273405.25,0.0,0.09864177809314195,2025,7,1,1,Summer
10043,2024-02-11,Badal Dada,West,Surat,Electronics,Camera,Camera A,2,68630,0,137260.0,16783.04,Net Banking,0.0,137260.0,0.0,0.12227189275826898,2024,2,11,6,winter
10044,2024-10-23,Bhamini Sane,South,Coimbatore,Groceries,Rice,Rice Incidunt,5,64105,20,256420.0,61655.17,Net Banking,0.2,256420.0,0.0,0.24044602605101006,2024,10,23,2,Fall
10045,2023-11-03,Eva Babu,East,Guwahati,Books,Textbook,Textbook Consequuntur,2,68202,0,136404.0,33860.63,Debit Card,0.0,136404.0,0.0,0.24823780827541714,2023,11,3,4,Fall
10046,2023-11-20,Prerak Saha,West,Pune,Books,Biography,Biography Magni,1,36207,15,30775.95,5230.85,Cod,0.15,30775.95,0.0,0.16996550878201974,2023,11,20,0,Fall
10047,2025-10-01,Advik Sule,North,Delhi,Beauty,Perfume,Perfume Quisquam,3,55843,10,150776.1,23835.95,Credit Card,0.1,150776.1,0.0,0.15808838403433967,2025,10,1,2,Fall
10048,2025-09-03,Divij Chawla,West,Surat,Sports,Tennis Racket,Tennis Racket Sapiente,5,60512,5,287432.0,41217.09,Credit Card,0.05,287432.0,0.0,0.14339770797962648,2025,9,3,2,Fall
10049,2025-01-22,Nirvaan Ben,North,Delhi,Toys,Puzzle,Puzzle Dolorem,1,70834,10,63750.6,4232.48,Upi,0.1,63750.6,0.0,0.06639121827872992,2025,1,22,2,winter
10050,2024-04-28,Shlok Dayal,West,Ahmedabad,Clothing,Shoes,Shoes Deleniti,1,33485,0,33485.0,6131.25,Cod,0.0,33485.0,0.0,0.18310437509332536,2024,4,28,6,Spring
10051,2024-05-04,Vritika Cherian,East,Patna,Beauty,Perfume,Perfume Rerum,5,8568,5,40698.0,3935.7,Upi,0.05,40698.0,0.0,0.09670499778858911,2024,5,4,5,Spring
10052,2025-05-06,Eshani Arya,East,Ranchi,Furniture,Sofa,Sofa Omnis,4,64645,5,245651.0,51927.61,Upi,0.05,245651.0,0.0,0.21138774114495767,2025,5,6,1,Spring
